seller_id,n_items_sold,n_orders,gmv,freight_collected,mean_item_price,median_item_price,freight_to_price_ratio,n_categories,primary_category,first_sale_at,last_sale_at,active_months,tenure_days,n_delivered_orders,multi_seller_order_share,late_rate,mean_handling_days,median_handling_days,mean_transit_days,dispatch_sla_miss_rate,mean_route_distance_km,n_reviewed_orders,mean_review_score,detractor_rate,gmv_share,gmv_cumulative_share,gmv_rank,gmv_decile,seller_state,seller_region,suppress_small_n,analysis_start,analysis_end
3442f8959a84dea7ee197c632cb2df15,3,3,218.7,27.9,72.89999999999999,101.7,0.12757201646090535,1,sports_leisure,2017-05-05 16:12:29,2017-08-30 11:47:52,2,117,3,0.3333333333333333,0.3333333333333333,4.938398919753086,6.554675925925926,8.059417438271604,0.6666666666666666,217.6087278368584,3,3.0,0.3333333333333333,1.6150098850346453e-05,0.9940256250214151,2294,8,SP,Sudeste,true,2017-01-01,2018-08-31
d1b65fc7debc3361ea86b5f14c68d2e2,41,40,11703.06999999999,1438.7299999999996,285.44073170731684,209.9,0.12293611847147806,3,luggage_accessories,2017-03-28 09:00:00,2018-06-06 20:01:45,12,435,39,0.0,0.025,1.6415567129629625,0.9865104166666667,6.9296626157407415,0.05,484.67345709729614,40,4.560975609756097,0.04878048780487805,0.0008642237647577683,0.6349939538445879,256,1,SP,Sudeste,false,2017-01-01,2018-08-31
ce3ad9de960102d0677a81f5d0bb7b2d,1,1,158.0,16.21,158.0,158.0,0.10259493670886076,1,baby,2018-07-30 12:20:10,2018-07-30 12:20:10,1,0,1,0.0,0.0,0.817488425925926,0.817488425925926,3.207685185185185,0.0,338.45403479994945,1,5.0,0.0,1.1667652575924737e-05,0.99643668487259,2469,9,RJ,Sudeste,true,2017-01-01,2018-08-31
c0f3eea2e14555b6faeea3dd58c1b1c3,1,1,79.99,15.66,79.99,79.99,0.19577447180897614,1,sports_leisure,2018-08-03 00:26:04,2018-08-03 00:26:04,1,0,1,0.0,0.0,0.5124074074074074,0.5124074074074074,5.1422337962962965,0.0,359.3881055606586,1,5.0,0.0,5.9069337313178455e-06,0.9989342854752221,2755,9,SP,Sudeste,true,2017-01-01,2018-08-31
51a04a8a6bdcb23deccc82b0b80742cf,1,1,167.99,31.93,167.99,167.99,0.19007083754985415,1,electronics,2017-11-14 12:04:09,2017-11-14 12:04:09,1,0,1,0.0,1.0,13.353726851851851,13.353726851851851,21.953310185185185,1.0,67.81801524091918,1,1.0,1.0,1.2405373140693649e-05,0.9960903143597752,2440,8,SP,Sudeste,true,2017-01-01,2018-08-31
c240c4061717ac1806ae6ee72be3533b,1,1,59.9,13.99,59.9,59.9,0.2335559265442404,1,food,2018-05-08 17:40:24,2018-05-08 17:40:24,1,0,1,1.0,0.0,0.7469560185185186,0.7469560185185186,5.299594907407408,0.0,365.39497321136497,1,4.0,0.0,4.4233695525183015e-06,0.9994360078282494,2852,10,RJ,Sudeste,true,2017-01-01,2018-08-31
e49c26c3edfa46d227d5121a6b6e4d37,36,35,3654.2500000000005,1175.4599999999996,101.50694444444446,89.445,0.3216692891838269,7,consoles_games,2017-02-04 18:51:41,2018-07-25 14:20:31,13,536,34,0.02857142857142857,0.0,1.156826388888889,0.6875,9.948364748677248,0.0,1474.2621897225365,35,4.416666666666667,0.08333333333333333,0.0002698513887694492,0.8600578870053381,728,3,PE,Nordeste,false,2017-01-01,2018-08-31
1b938a7ec6ac5061a66a3766e0e75f90,33,30,3987.6000000000017,910.23,120.83636363636369,64.9,0.22826512187782116,6,musical_instruments,2017-09-22 17:15:55,2018-08-18 18:46:34,10,330,29,0.03333333333333333,0.0,1.381120445041816,1.3453819444444444,9.441302643369175,0.0,598.6419854184137,30,4.242424242424242,0.12121212121212122,0.0002944679203275791,0.8440759980437266,671,3,SP,Sudeste,false,2017-01-01,2018-08-31
768a86e36ad6aae3d03ee3c6433d61df,17,17,587.46,180.24,34.5564705882353,36.82,0.30681237871514655,2,toys,2018-06-19 11:51:55,2018-08-23 20:27:42,3,65,17,0.058823529411764705,0.11764705882352941,0.7658142701525056,0.6343402777777778,3.5106978485838773,0.058823529411764705,183.2221337333001,17,4.647058823529412,0.0,4.338151381172624e-05,0.9791142904450221,1754,6,SP,Sudeste,false,2017-01-01,2018-08-31
ccc4bbb5f32a6ab2b7066a4130f114e3,192,187,74004.62000000004,5256.98,385.44072916666687,349.9,0.07103583533028068,2,health_beauty,2017-01-07 13:29:22,2018-08-21 20:53:43,20,591,184,0.016042780748663103,0.06349206349206349,2.788903463648833,1.8792939814814815,12.548560038212814,0.046875,1271.6575297647282,186,4.282722513089006,0.11518324607329843,0.005464937944135011,0.21644292547164662,21,1,PR,Sul,false,2017-01-01,2018-08-31
8cb7c5ddf41f4d506eba76e9a4702a25,2,2,138.0,44.37,69.0,69.0,0.32152173913043475,1,sports_leisure,2018-02-07 22:52:02,2018-04-20 11:20:41,2,72,1,0.0,0.0,7.609340277777778,7.609340277777778,8.360243055555555,1.0,479.712062469573,2,3.0,0.5,1.0190734528339327e-05,0.9972786751130595,2547,9,GO,Centro-Oeste,true,2017-01-01,2018-08-31
a7a9b880c49781da66651ccf4ba9ac38,4,3,307.6,65.47,76.9,73.4,0.2128413524057217,1,bed_bath_table,2018-05-16 16:16:03,2018-07-06 11:54:40,3,51,3,0.0,0.0,0.3912789351851852,0.3912789351851852,8.079577546296296,0.0,204.82856277445902,3,3.75,0.0,2.27149995718636e-05,0.990482942439131,2112,7,SP,Sudeste,true,2017-01-01,2018-08-31
8bd0f31cf0a614c658f6763bd02dea69,35,33,4455.3399999999965,967.9800000000004,127.29542857142847,82.0,0.21726288004955877,3,office_furniture,2017-01-18 10:55:55,2018-08-16 20:32:56,13,575,33,0.030303030303030304,0.02857142857142857,1.2683601190476192,1.0464930555555556,8.278583333333332,0.0,441.0191956976435,32,4.205882352941177,0.08823529411764706,0.0003290086027064587,0.8279578286846505,619,3,SP,Sudeste,false,2017-01-01,2018-08-31
05a48cc8859962767935ab9087417fbb,1,1,42.9,16.49,42.9,42.9,0.38438228438228433,1,garden_tools,2018-08-02 12:05:38,2018-08-02 12:05:38,1,0,1,0.0,0.0,5.7977083333333335,5.7977083333333335,5.43806712962963,0.0,388.46099792175545,1,5.0,0.0,3.1679892120707038e-06,0.9997395292562085,2932,10,SP,Sudeste,true,2017-01-01,2018-08-31
7b8e8ec35bad4b0ef7e3963650b0a87b,5,5,2244.2799999999997,372.02,448.85599999999994,659.8,0.1657636302065696,2,auto,2018-04-02 10:44:37,2018-07-26 14:16:04,3,115,5,0.0,0.2,1.0616296296296297,0.5838888888888889,20.033356481481484,0.0,469.4724212280623,5,4.8,0.0,0.00016573088179174913,0.9076213895300164,951,4,SC,Sul,true,2017-01-01,2018-08-31
1444c08e64d55fb3c25f0f09c07ffcf2,1,1,2749.0,69.74,2749.0,2749.0,0.025369225172790104,1,garden_tools,2018-04-28 12:23:26,2018-04-28 12:23:26,1,0,1,0.0,0.0,3.0025810185185184,3.0025810185185184,6.398020833333334,0.0,1465.9475358263683,1,1.0,1.0,0.00020300238564061455,0.8905630023265035,859,3,BA,Nordeste,true,2017-01-01,2018-08-31
166e8f1381e09651983c38b1f6f91c11,2,2,78.8,30.2,39.4,39.4,0.383248730964467,1,uncategorized,2017-07-25 01:53:48,2017-08-21 00:27:44,2,27,2,0.0,0.0,5.229444444444445,5.229444444444445,8.982262731481482,0.5,604.7211793902292,2,5.0,0.0,5.819057107486514e-06,0.9990402528682184,2773,10,SC,Sul,true,2017-01-01,2018-08-31
e38db885400cd35c71dfd162f2c1dbcf,32,30,2066.800000000001,670.7500000000001,64.58750000000003,64.9,0.3245355138378168,1,bed_bath_table,2017-08-20 19:32:32,2018-08-15 14:11:19,11,360,30,0.0,0.09375,2.7173354311342597,2.4146122685185185,9.624064670138893,0.125,926.1199426841915,30,4.5,0.0625,0.00015262471103747631,0.9149560791378698,997,4,DF,Centro-Oeste,false,2017-01-01,2018-08-31
d2e753bb80b7d4faa77483ed00edc8ca,15,14,1320.7,454.2399999999999,88.04666666666667,89.0,0.3439388203225561,2,fashion_bags_accessories,2017-10-06 16:05:51,2018-05-18 00:35:08,6,224,14,0.21428571428571427,0.06666666666666667,1.9480162037037034,1.3180671296296296,10.372005401234569,0.06666666666666667,939.5545159843579,14,3.7333333333333334,0.06666666666666667,9.752828327230253e-05,0.9443404433216743,1239,5,BA,Nordeste,false,2017-01-01,2018-08-31
f9ec7093df3a7b346b7bcf7864069ca3,9,9,519.2,118.93,57.6888888888889,27.8,0.22906394453004622,5,sports_leisure,2018-07-05 06:46:44,2018-08-26 20:08:21,2,52,9,0.1111111111111111,0.0,1.4327250514403291,1.701099537037037,4.831662808641975,0.0,441.9777322260274,9,4.777777777777778,0.0,3.8340792515317236e-05,0.9815259595248914,1813,6,SP,Sudeste,true,2017-01-01,2018-08-31
4e6015589b781adaa5ce7f1892d06bb1,3,3,684.0,56.5,228.0,228.0,0.08260233918128655,1,sports_leisure,2017-10-12 19:42:09,2018-01-24 11:06:18,2,104,3,0.0,0.0,2.4417631172839505,2.1506712962962964,3.3777932098765433,0.0,124.23537520421782,3,3.6666666666666665,0.0,5.051059722742101e-05,0.9754164243911828,1675,6,SP,Sudeste,true,2017-01-01,2018-08-31
4cf490a58259286ada5ba8525ba9e84a,8,8,1254.2,155.19,156.775,165.4,0.12373624621272523,1,cool_stuff,2017-03-14 13:06:10,2017-11-23 12:17:53,5,254,7,0.0,0.0,11.016264880952379,8.0309375,13.06503306878307,0.25,734.2784134540359,8,3.125,0.375,9.261753076408104e-05,0.9487230654437188,1285,5,SP,Sudeste,true,2017-01-01,2018-08-31
f7496d659ca9fdaf323c0aae84176632,26,25,4967.58,815.54,191.06076923076924,139.9,0.16417249445404,3,furniture_decor,2017-01-25 15:49:39,2018-08-16 11:34:12,15,568,24,0.04,0.04,6.569788425925927,6.153587962962963,5.209708333333333,0.15384615384615385,359.60326542690353,25,4.576923076923077,0.07692307692307693,0.00036683542774121645,0.8092429848449337,565,2,SP,Sudeste,false,2017-01-01,2018-08-31
